application_id,gender,age,region,education,experience_years,annual_income,credit_score,loan_amount,application_date,decision,processing_time_days,consent_for_fairness_audit
APP10023,Male,41.0,South,Bachelor,19,70806.0,606.0,11210.0,2025-05-05,Approved,3.9,Yes
APP10024,Male,46.0,South,Master,23,52009.0,655.0,5682.0,2025-06-24,Approved,3.5,Yes
APP10025,Male,45.0,North,Bachelor,19,73238.0,548.0,19139.0,2025-03-10,Approved,2.6,Yes
APP10026,Female,42.0,East,High School,13,65773.0,636.0,16726.0,2025-02-16,Approved,1.5,Yes
APP10027,Male,47.0,North,High School,24,54177.0,783.0,9860.0,2025-09-13,Approved,4.7,Yes
APP10028,Female,33.0,West,Bachelor,12,34274.0,628.0,48878.0,2025-08-03,Approved,4.2,Yes
APP10029,Female,53.0,East,Bachelor,27,96648.0,737.0,31359.0,2025-01-30,Approved,1.3,Yes
APP10030,Male,54.0,South,High School,29,69616.0,598.0,29947.0,2025-10-08,Approved,2.5,Yes
APP10031,Female,55.0,East,Bachelor,33,112822.0,823.0,44070.0,2025-08-25,Approved,3.7,Yes
APP10032,Male,21.0,South,High School,0,85687.0,828.0,28075.0,2025-09-05,Approved,4.1,Yes
APP10033,Male,41.0,East,Master,11,77129.0,734.0,16016.0,2025-01-25,Approved,1.5,Yes
APP10034,Female,26.0,North,High School,1,55426.0,839.0,5000.0,2025-03-15,Approved,3.4,Yes
APP10035,Non-Binary,48.0,East,Bachelor,24,40902.0,717.0,15339.0,2025-07-25,Rejected,4.2,Yes
APP10036,Female,37.0,West,High School,14,60210.0,748.0,43065.0,2025-11-10,Approved,3.0,Yes
APP10037,Male,25.0,West,Bachelor,0,40266.0,785.0,9936.0,2025-04-04,Approved,3.8,No
APP10038,Male,51.0,North,Master,31,79304.0,703.0,29238.0,2025-05-07,Approved,2.9,Yes
APP10039,Female,25.0,North,Bachelor,0,100918.0,574.0,37407.0,2025-01-25,Approved,4.7,Yes
APP10040,Male,58.0,South,High School,33,59260.0,749.0,28424.0,2025-11-30,Approved,2.5,Yes
APP10041,Male,41.0,West,Master,2,85779.0,655.0,29788.0,2025-12-21,Approved,2.0,Yes
APP10042,Female,43.0,South,Master,21,49837.0,698.0,32867.0,2025-04-26,Approved,3.5,Yes
APP10043,Male,57.0,North,High School,30,66535.0,712.0,29551.0,2025-02-17,Rejected,1.6,Yes
APP10044,Female,57.0,South,Master,28,47071.0,732.0,44309.0,2025-08-14,Approved,1.0,Yes
APP10045,Male,30.0,North,Master,5,18071.0,701.0,12516.0,2025-09-23,Rejected,4.9,Yes
APP10046,Female,30.0,West,High School,8,64196.0,738.0,27885.0,2025-04-09,Approved,2.2,Yes
APP10047,Male,39.0,East,Master,13,67826.0,637.0,5000.0,2025-01-11,Approved,1.8,Yes
APP10048,Female,37.0,West,Master,14,88449.0,687.0,5000.0,2025-03-26,Approved,2.4,Yes
APP10049,Female,41.0,South,Bachelor,13,82500.0,754.0,24020.0,2025-08-02,Approved,2.4,Yes
APP10050,Male,34.0,South,High School,10,82797.0,823.0,31521.0,2025-06-22,Approved,3.3,Yes
APP10051,Non-Binary,29.0,West,High School,7,43571.0,849.0,44568.0,2025-07-28,Approved,2.1,Yes
APP10052,Female,21.0,West,Master,0,75109.0,722.0,54038.0,2025-03-05,Approved,4.1,Yes
APP10053,Female,33.0,North,PhD,3,99817.0,753.0,40838.0,2025-09-15,Approved,4.3,Yes
APP10054,Female,24.0,South,Master,3,73357.0,839.0,33726.0,2025-11-28,Approved,1.8,Yes
APP10055,Female,21.0,South,Bachelor,0,105229.0,640.0,26920.0,2025-05-01,Approved,2.7,Yes
APP10056,Female,60.0,West,Bachelor,39,109417.0,737.0,6625.0,2025-10-25,Approved,2.8,Yes
APP10057,Male,52.0,East,Bachelor,29,59094.0,748.0,23248.0,2025-02-23,Approved,3.3,Yes
APP10058,Male,54.0,South,Bachelor,33,49667.0,799.0,40485.0,2025-11-27,Approved,4.9,Yes
APP10059,Male,48.0,East,High School,19,48248.0,605.0,35779.0,2025-09-29,Approved,5.0,Yes
APP10060,Male,51.0,West,Master,23,31645.0,620.0,9564.0,2025-08-29,Approved,6.7,Yes
APP10061,Male,28.0,West,Bachelor,7,53595.0,692.0,32368.0,2025-08-31,Rejected,1.0,Yes
APP10062,Male,59.0,North,Master,31,91569.0,718.0,31341.0,2025-01-18,Approved,2.3,Yes
APP10063,Female,46.0,South,Bachelor,21,18000.0,774.0,29199.0,2025-07-06,Approved,5.9,Yes
APP10064,Male,54.0,East,High School,34,42176.0,729.0,24666.0,2025-12-12,Approved,1.2,Yes
APP10065,Male,23.0,North,High School,0,62203.0,679.0,32987.0,2025-05-24,Approved,5.8,Yes
APP10066,Female,32.0,South,Bachelor,12,45702.0,721.0,33368.0,2025-09-19,Approved,3.7,Yes
APP10067,Male,21.0,North,Master,0,53400.0,713.0,17302.0,2025-12-30,Approved,3.7,Yes
APP10068,Female,25.0,North,High School,2,53729.0,821.0,30460.0,2025-08-27,Approved,1.8,Yes
APP10069,Male,50.0,South,Master,28,59334.0,702.0,22727.0,2025-10-31,Approved,2.9,Yes
APP10070,Non-Binary,50.0,North,Bachelor,28,48952.0,661.0,7153.0,2025-10-25,Approved,5.8,Yes
APP10071,Female,37.0,North,Master,9,47153.0,724.0,18261.0,2025-03-17,Rejected,3.4,Yes
APP10072,Male,43.0,East,Bachelor,18,85555.0,705.0,6236.0,2025-07-07,Approved,2.9,Yes
APP10073,Male,35.0,North,Master,7,88092.0,572.0,36761.0,2025-11-29,Approved,4.0,Yes
APP10074,Female,57.0,South,Master,33,34628.0,689.0,29271.0,2025-09-03,Approved,3.3,Yes
APP10075,Female,41.0,South,Bachelor,20,18000.0,682.0,20734.0,2025-05-10,Approved,3.9,Yes
APP10076,Female,34.0,East,High School,7,88394.0,649.0,42046.0,2025-11-11,Approved,2.4,Yes
APP10077,Female,22.0,South,Master,0,37966.0,768.0,25816.0,2025-10-10,Approved,3.4,Yes
APP10078,Male,31.0,North,PhD,10,69680.0,631.0,7825.0,2025-03-20,Approved,2.7,Yes
APP10079,Male,59.0,South,High School,36,30555.0,724.0,19726.0,2025-03-13,Approved,1.2,Yes
APP10080,Male,58.0,South,Master,30,93551.0,679.0,44594.0,2025-09-20,Approved,4.1,Yes
APP10081,Female,54.0,North,Master,31,120961.0,698.0,16966.0,2025-07-10,Approved,1.9,Yes
APP10082,Female,58.0,North,Master,35,69022.0,721.0,28303.0,2025-03-04,Approved,3.3,Yes
APP10083,Male,54.0,South,PhD,33,62930.0,592.0,33927.0,2025-01-12,Approved,4.7,Yes
APP10084,Male,38.0,East,Master,13,57913.0,704.0,32079.0,2025-05-21,Approved,1.6,Yes
APP10085,Male,50.0,North,Bachelor,20,82200.0,850.0,54394.0,2025-09-11,Approved,4.3,No
APP10086,Male,35.0,East,Bachelor,14,77489.0,573.0,10884.0,2025-02-12,Approved,3.1,Yes
APP10087,Female,47.0,South,Bachelor,21,87077.0,686.0,12082.0,2025-01-17,Approved,2.2,Yes
APP10088,Female,54.0,South,Master,32,51186.0,774.0,11083.0,2025-03-04,Approved,6.1,Yes
APP10089,Female,58.0,West,Master,36,72483.0,713.0,21449.0,2025-09-10,Rejected,3.5,Yes
APP10090,Male,53.0,North,Bachelor,29,66535.0,742.0,38193.0,2025-10-19,Approved,2.8,Yes
APP10091,Male,44.0,South,Master,22,41730.0,512.0,12619.0,2025-01-08,Approved,2.5,Yes
APP10092,Female,35.0,West,Master,14,64098.0,735.0,38360.0,2025-11-21,Rejected,4.6,No
APP10093,Female,50.0,North,Bachelor,21,44705.0,633.0,25422.0,2025-03-31,Rejected,2.7,Yes
APP10094,Female,37.0,South,Bachelor,9,90822.0,713.0,11692.0,2025-07-27,Approved,4.5,Yes
APP10095,Female,25.0,South,Bachelor,4,46038.0,688.0,5000.0,2025-10-19,Approved,3.5,Yes
APP10096,Female,49.0,North,High School,19,72998.0,850.0,6669.0,2025-10-11,Approved,5.0,Yes
APP10097,Female,24.0,North,Bachelor,3,51725.0,731.0,17010.0,2025-04-28,Approved,2.1,Yes
APP10098,Male,30.0,North,High School,3,71095.0,682.0,22970.0,2025-12-15,Approved,2.3,Yes
APP10099,Male,37.0,South,High School,9,53472.0,577.0,41153.0,2025-06-24,Approved,3.1,Yes
APP10100,Male,30.0,South,Bachelor,4,37341.0,699.0,34589.0,2025-03-17,Approved,3.2,Yes
APP10101,Male,37.0,West,Bachelor,15,75643.0,752.0,14933.0,2025-04-11,Approved,3.0,No
APP10102,Female,40.0,East,High School,12,59821.0,684.0,29904.0,2025-05-31,Approved,6.9,Yes
APP10103,Male,44.0,North,Master,22,71292.0,652.0,44819.0,2025-09-27,Approved,6.2,Yes
APP10104,Female,25.0,South,Bachelor,1,55565.0,647.0,47487.0,2025-03-12,Rejected,3.9,No
APP10105,Female,54.0,South,Master,26,35785.0,730.0,21227.0,2025-06-29,Approved,4.0,Yes
APP10106,Male,26.0,North,PhD,4,88830.0,747.0,36499.0,2025-05-04,Approved,3.2,Yes
APP10107,Male,22.0,East,High School,0,81209.0,792.0,41679.0,2025-10-20,Approved,2.1,Yes
APP10108,Female,33.0,North,Bachelor,13,52527.0,615.0,6915.0,2025-10-12,Approved,3.3,Yes
APP10109,Male,31.0,East,High School,8,66535.0,729.0,18851.0,2025-07-14,Approved,4.5,Yes
APP10110,Male,43.0,South,Bachelor,20,87924.0,681.0,51640.0,2025-08-16,Approved,5.2,Yes
APP10111,Male,36.0,East,Bachelor,10,54945.0,683.0,21388.0,2025-10-02,Rejected,4.8,Yes
APP10112,Male,51.0,West,Bachelor,24,58359.0,720.0,5000.0,2025-04-16,Approved,1.5,Yes
APP10113,Female,31.0,South,Bachelor,11,70360.0,721.0,23548.0,2025-01-21,Approved,3.1,Yes
APP10114,Female,36.0,West,Bachelor,12,66535.0,730.0,38496.0,2025-03-05,Approved,1.6,Yes
APP10115,Female,28.0,North,High School,2,83856.0,611.0,25078.0,2025-06-14,Approved,5.0,Yes
APP10116,Female,24.0,North,Master,1,61284.0,634.0,33584.0,2025-01-27,Rejected,3.0,Yes
APP10117,Female,60.0,North,Bachelor,37,47751.0,801.0,36259.0,2025-11-07,Approved,3.4,Yes
APP10118,Male,24.0,East,Bachelor,1,78390.0,673.0,20741.0,2025-10-12,Approved,4.1,Yes
APP10119,Female,45.0,South,Bachelor,20,39873.0,713.0,18767.0,2025-05-28,Rejected,7.1,Yes
APP10120,Female,23.0,North,PhD,0,109327.0,769.0,26841.0,2025-10-08,Approved,3.8,Yes
APP10121,Female,52.0,North,High School,31,99815.0,725.0,27133.0,2025-11-22,Approved,3.2,Yes
APP10122,Female,23.0,South,Bachelor,0,76297.0,731.0,25649.0,2025-11-15,Approved,1.9,Yes
APP10123,Male,47.0,North,Master,24,74445.0,757.0,26142.0,2025-06-13,Approved,5.4,Yes
APP10124,Male,49.0,West,Bachelor,27,73414.0,531.0,16017.0,2025-08-12,Approved,3.3,Yes
APP10125,Male,52.0,South,PhD,26,54240.0,653.0,34003.0,2025-09-29,Approved,5.7,Yes
APP10126,Male,39.0,South,Master,9,71541.0,725.0,32191.0,2025-05-26,Approved,4.9,Yes
APP10127,Female,41.0,South,Master,16,44691.0,794.0,8968.0,2025-12-22,Approved,2.9,Yes
APP10128,Female,25.0,West,Master,0,76084.0,695.0,20330.0,2025-01-30,Approved,1.7,Yes
APP10129,Male,38.0,South,PhD,14,84093.0,627.0,26117.0,2025-02-14,Approved,3.9,Yes
APP10130,Female,48.0,West,Master,23,56682.0,629.0,18588.0,2025-10-02,Approved,2.7,Yes
APP10131,Male,42.0,South,Master,18,51908.0,756.0,32648.0,2025-02-03,Approved,3.6,Yes
APP10132,Male,41.0,East,Master,15,38326.0,674.0,24197.0,2025-05-21,Approved,4.9,Yes
APP10133,Male,26.0,North,High School,5,97075.0,689.0,27029.0,2025-11-14,Approved,1.4,Yes
APP10134,Male,21.0,East,High School,0,53655.0,736.0,20191.0,2025-08-09,Approved,3.8,Yes
APP10135,Female,25.0,North,Bachelor,1,66535.0,472.0,5000.0,2025-12-22,Rejected,4.5,Yes
APP10136,Male,32.0,West,High School,7,71603.0,840.0,5000.0,2025-01-22,Approved,4.6,No
APP10137,Female,46.0,East,Bachelor,21,71209.0,635.0,32075.0,2025-06-29,Approved,1.7,Yes
APP10138,Female,54.0,South,Bachelor,30,81424.0,708.0,28203.0,2025-11-25,Approved,4.0,Yes
APP10139,Male,34.0,North,Bachelor,5,56655.0,562.0,30264.0,2025-08-19,Approved,5.1,Yes
APP10140,Non-Binary,46.0,North,Master,20,39949.0,658.0,26614.0,2025-02-07,Approved,3.9,No
APP10141,Non-Binary,47.0,East,Master,18,36099.0,783.0,27575.0,2025-03-11,Approved,3.3,Yes
APP10142,Male,29.0,West,High School,2,52256.0,546.0,36628.0,2025-04-26,Approved,5.0,No
APP10143,Female,46.0,East,Bachelor,20,44059.0,774.0,30335.0,2025-08-27,Approved,2.6,Yes
APP10144,Male,42.0,West,Master,18,58320.0,669.0,37491.0,2025-12-01,Approved,1.5,Yes
APP10145,Male,50.0,West,High School,30,93767.0,727.0,27058.0,2025-05-28,Approved,3.2,Yes
APP10146,Male,37.0,North,Master,13,56700.0,739.0,21395.0,2025-01-09,Approved,4.2,Yes
APP10147,Female,46.0,East,Bachelor,17,56692.0,723.0,27330.0,2025-10-15,Approved,4.9,Yes
APP10148,Female,56.0,East,Bachelor,35,64639.0,625.0,14966.0,2025-02-19,Approved,4.2,Yes
APP10149,Male,21.0,West,PhD,0,56076.0,663.0,20442.0,2025-12-04,Rejected,4.6,No
APP10150,Male,28.0,East,Bachelor,4,63517.0,580.0,27131.0,2025-01-05,Rejected,4.9,Yes
APP10151,Female,55.0,South,Master,34,76899.0,727.0,26972.0,2025-12-09,Approved,3.1,Yes
APP10152,Male,35.0,South,Master,11,84465.0,818.0,23723.0,2025-05-06,Approved,3.3,Yes
APP10153,Male,42.0,East,High School,19,87071.0,553.0,8342.0,2025-03-16,Approved,5.2,Yes
APP10154,Female,34.0,East,Master,14,110251.0,633.0,32637.0,2025-06-14,Approved,1.9,Yes
APP10155,Non-Binary,46.0,West,PhD,24,77526.0,676.0,35011.0,2025-10-05,Approved,4.1,Yes
APP10156,Male,48.0,South,High School,28,114159.0,703.0,44724.0,2025-11-20,Approved,2.6,Yes
APP10157,Female,43.0,South,Master,13,47917.0,756.0,30301.0,2025-10-27,Approved,4.9,No
APP10158,Female,34.0,North,Bachelor,10,111008.0,679.0,25018.0,2025-10-17,Approved,3.5,Yes
APP10159,Male,44.0,West,Bachelor,21,56632.0,666.0,12844.0,2025-03-18,Approved,3.5,Yes
APP10160,Female,22.0,North,Bachelor,0,58796.0,773.0,42904.0,2025-10-25,Rejected,5.7,Yes
APP10161,Male,46.0,South,Bachelor,22,62363.0,740.0,27974.0,2025-05-17,Approved,2.1,Yes
APP10162,Female,34.0,West,Master,5,60190.0,730.0,27320.0,2025-04-16,Approved,3.8,Yes
APP10163,Female,27.0,East,Master,4,66888.0,698.0,21951.0,2025-04-05,Approved,3.3,Yes
APP10164,Female,23.0,West,Bachelor,2,52239.0,764.0,21184.0,2025-05-15,Approved,4.2,Yes
APP10165,Male,43.0,East,Master,20,83259.0,641.0,33259.0,2025-03-09,Rejected,6.0,Yes
APP10166,Female,38.0,East,Bachelor,17,52838.0,631.0,12743.0,2025-05-27,Approved,2.7,Yes
APP10167,Male,58.0,West,Bachelor,31,79423.0,746.0,44505.0,2025-06-08,Approved,1.9,Yes
APP10168,Male,55.0,East,Master,33,98610.0,568.0,41890.0,2025-06-12,Approved,2.4,Yes
APP10169,Male,35.0,North,Bachelor,7,57144.0,697.0,20751.0,2025-12-07,Approved,3.2,Yes
APP10170,Female,45.0,South,Bachelor,22,82476.0,666.0,14634.0,2025-07-08,Approved,3.6,No
APP10171,Female,57.0,East,Master,32,77302.0,585.0,5000.0,2025-12-05,Approved,3.6,Yes
APP10172,Male,48.0,North,Bachelor,19,114564.0,620.0,9983.0,2025-04-05,Approved,5.8,Yes
APP10173,Female,30.0,East,High School,6,53894.0,682.0,33759.0,2025-06-30,Approved,5.6,Yes
APP10174,Male,59.0,South,High School,30,82492.0,768.0,28784.0,2025-10-15,Approved,5.2,Yes
APP10175,Female,37.0,North,Bachelor,17,29228.0,641.0,30924.0,2025-11-18,Approved,6.8,Yes
APP10176,Male,59.0,South,Master,31,54091.0,781.0,5000.0,2025-07-06,Approved,4.6,Yes
APP10177,Female,42.0,South,Bachelor,22,72775.0,695.0,20250.0,2025-05-18,Approved,4.9,Yes
APP10178,Male,46.0,North,Master,19,95650.0,788.0,41407.0,2025-05-10,Approved,4.5,No
APP10179,Female,45.0,North,Bachelor,17,38029.0,645.0,23848.0,2025-07-13,Rejected,4.3,Yes
APP10180,Male,37.0,North,Bachelor,9,82294.0,686.0,9732.0,2025-11-12,Approved,4.0,Yes
APP10181,Male,33.0,West,Bachelor,13,63609.0,718.0,23661.0,2025-09-30,Approved,3.0,Yes
APP10182,Male,40.0,North,Bachelor,19,31526.0,677.0,15748.0,2025-12-18,Approved,1.9,Yes
APP10183,Female,45.0,North,Master,25,68995.0,761.0,29004.0,2025-05-24,Approved,3.3,Yes
APP10184,Female,24.0,North,Master,0,102602.0,524.0,25247.0,2025-01-16,Approved,4.2,Yes
APP10185,Male,30.0,North,Bachelor,9,40351.0,850.0,31520.0,2025-10-29,Approved,3.6,Yes
APP10186,Female,23.0,East,High School,0,62581.0,754.0,10385.0,2025-09-02,Approved,2.1,Yes
APP10187,Female,38.0,West,High School,11,43294.0,677.0,19615.0,2025-04-17,Rejected,3.3,Yes
APP10188,Female,56.0,South,High School,32,54691.0,649.0,38085.0,2025-03-29,Approved,3.2,Yes
APP10189,Female,42.0,North,Master,12,96508.0,625.0,8749.0,2025-05-09,Rejected,3.4,Yes
APP10190,Male,54.0,East,Bachelor,28,59026.0,738.0,12963.0,2025-12-07,Approved,4.1,Yes
APP10191,Male,28.0,East,Bachelor,7,95834.0,765.0,27392.0,2025-01-04,Approved,4.4,Yes
APP10192,Female,60.0,East,Bachelor,33,89399.0,678.0,28441.0,2025-11-23,Approved,2.8,Yes
APP10193,Female,39.0,South,High School,9,57020.0,773.0,19134.0,2025-11-02,Approved,4.8,Yes
APP10194,Female,57.0,North,Bachelor,32,53943.0,622.0,21659.0,2025-04-05,Approved,5.0,Yes
APP10195,Male,26.0,West,Bachelor,0,45288.0,698.0,31399.0,2025-07-28,Rejected,3.9,Yes
APP10196,Male,46.0,West,Bachelor,26,44521.0,826.0,35196.0,2025-08-13,Approved,4.4,Yes
APP10197,Female,54.0,East,Bachelor,34,72771.0,734.0,12169.0,2025-12-14,Approved,4.8,Yes
APP10198,Female,26.0,South,Master,0,64565.0,795.0,29372.0,2025-11-17,Approved,2.1,Yes
APP10199,Female,57.0,South,High School,30,51281.0,626.0,43144.0,2025-02-16,Approved,4.9,Yes
APP10200,Female,53.0,South,PhD,31,30927.0,621.0,23609.0,2025-06-30,Approved,2.5,Yes
APP10201,Female,42.0,West,Bachelor,18,67336.0,663.0,12042.0,2025-04-16,Approved,2.6,Yes
APP10202,Male,41.0,East,Master,21,54670.0,628.0,11487.0,2025-07-18,Approved,3.8,No
APP10203,Male,26.0,North,Bachelor,0,60703.0,743.0,23071.0,2025-04-16,Approved,1.0,Yes
APP10204,Female,26.0,West,Master,2,71703.0,634.0,37430.0,2025-10-07,Rejected,3.7,Yes
APP10205,Female,24.0,East,Master,0,18000.0,602.0,24511.0,2025-09-17,Rejected,4.8,Yes
APP10206,Male,50.0,East,Bachelor,23,31268.0,701.0,27271.0,2025-04-18,Approved,1.4,Yes
APP10207,Male,31.0,North,Bachelor,3,66535.0,593.0,13044.0,2025-01-19,Approved,4.9,Yes
APP10208,Female,50.0,North,Bachelor,24,53855.0,555.0,36797.0,2025-10-23,Rejected,2.6,Yes
APP10209,Male,51.0,North,Bachelor,21,18000.0,700.0,11252.0,2025-11-02,Approved,3.8,Yes
APP10210,Male,44.0,South,High School,24,33101.0,559.0,18946.0,2025-06-20,Rejected,2.8,Yes
APP10211,Female,29.0,North,Bachelor,7,119658.0,748.0,32559.0,2025-11-27,Approved,4.2,Yes
APP10212,Female,23.0,East,Bachelor,0,49534.0,585.0,5000.0,2025-07-14,Approved,4.8,Yes
APP10213,Female,51.0,North,Bachelor,29,90498.0,522.0,27088.0,2025-01-12,Rejected,4.3,No
APP10214,Male,60.0,East,Master,33,67665.0,668.0,12531.0,2025-07-14,Approved,3.5,Yes
APP10215,Female,57.0,West,Master,37,54331.0,701.0,25199.0,2025-10-10,Approved,2.9,Yes
APP10216,Male,56.0,South,PhD,32,82060.0,727.0,20775.0,2025-07-01,Approved,3.4,Yes
APP10217,Male,44.0,West,Bachelor,21,18000.0,703.0,50270.0,2025-11-01,Approved,4.4,Yes
APP10218,Female,51.0,West,Bachelor,27,33295.0,611.0,20283.0,2025-05-24,Approved,4.4,No
APP10219,Female,26.0,East,Bachelor,0,54168.0,743.0,47112.0,2025-11-12,Approved,4.2,Yes
APP10220,Female,22.0,West,Bachelor,0,35456.0,762.0,32043.0,2025-07-01,Approved,1.8,Yes
APP10221,Female,40.0,East,Master,17,52223.0,600.0,15382.0,2025-01-30,Approved,3.5,Yes
APP10222,Female,48.0,North,Bachelor,18,83782.0,676.0,28970.0,2025-03-25,Approved,2.7,Yes
APP10223,Male,31.0,North,Master,8,67907.0,698.0,21347.0,2025-06-15,Approved,4.4,Yes
APP10224,Male,24.0,East,Bachelor,2,94274.0,707.0,27906.0,2025-10-11,Approved,2.5,Yes
APP10225,Male,35.0,North,Bachelor,9,69298.0,675.0,16433.0,2025-10-08,Approved,4.1,Yes
APP10226,Male,26.0,South,Bachelor,4,86834.0,685.0,45282.0,2025-04-06,Approved,3.1,Yes
APP10227,Non-Binary,50.0,West,Bachelor,28,63590.0,738.0,36105.0,2025-09-23,Approved,1.1,Yes
APP10228,Male,58.0,South,Bachelor,28,52014.0,606.0,25381.0,2025-10-25,Approved,4.7,Yes
APP10229,Female,22.0,West,Bachelor,0,97572.0,745.0,45749.0,2025-10-23,Approved,3.5,Yes
APP10230,Female,35.0,North,High School,11,49394.0,776.0,25891.0,2025-08-13,Approved,5.2,Yes
APP10231,Female,31.0,South,Bachelor,7,72565.0,813.0,38171.0,2025-11-29,Approved,1.3,Yes
APP10232,Female,28.0,North,High School,3,81916.0,529.0,25460.0,2025-12-27,Rejected,3.1,Yes
APP10233,Female,46.0,West,Bachelor,19,83513.0,676.0,29727.0,2025-02-11,Approved,3.2,Yes
APP10234,Female,25.0,East,Bachelor,0,39360.0,543.0,24023.0,2025-10-30,Rejected,3.9,Yes
APP10235,Male,26.0,East,Bachelor,1,88143.0,507.0,26144.0,2025-09-03,Rejected,1.8,No
APP10236,Female,46.0,South,Master,26,43463.0,701.0,27046.0,2025-07-27,Approved,4.2,Yes
APP10237,Male,24.0,North,High School,0,82835.0,660.0,16963.0,2025-08-25,Approved,6.0,No
APP10238,Male,39.0,North,Master,12,76774.0,712.0,20187.0,2025-01-22,Approved,4.1,Yes
APP10239,Female,40.0,South,Bachelor,12,83010.0,726.0,22399.0,2025-07-04,Approved,3.6,Yes
APP10240,Male,53.0,East,Bachelor,25,38490.0,784.0,27757.0,2025-08-30,Approved,1.7,Yes
APP10241,Female,40.0,West,Master,19,77934.0,694.0,24633.0,2025-12-29,Approved,2.5,Yes
APP10242,Female,32.0,South,High School,11,88883.0,850.0,39076.0,2025-10-10,Approved,3.4,Yes
APP10243,Female,21.0,West,Bachelor,0,69255.0,713.0,35165.0,2025-02-10,Approved,2.8,Yes
APP10244,Male,46.0,East,Bachelor,26,46990.0,828.0,22644.0,2025-12-02,Approved,4.8,Yes
APP10245,Male,34.0,North,Bachelor,11,85234.0,515.0,41581.0,2025-06-11,Approved,4.2,Yes
APP10246,Female,58.0,East,Bachelor,35,67506.0,791.0,47476.0,2025-06-09,Approved,7.0,Yes
APP10247,Male,57.0,South,Bachelor,29,28162.0,676.0,5000.0,2025-03-30,Approved,2.2,Yes
APP10248,Non-Binary,31.0,North,Master,3,45284.0,544.0,36187.0,2025-11-18,Rejected,3.5,Yes
APP10249,Non-Binary,56.0,South,Bachelor,28,53422.0,722.0,16684.0,2025-01-12,Approved,1.7,Yes
APP10250,Female,33.0,South,Bachelor,4,98128.0,667.0,34609.0,2025-03-14,Approved,1.0,Yes
APP10251,Male,23.0,East,Bachelor,0,94264.0,734.0,39859.0,2025-03-17,Approved,4.4,Yes
APP10252,Male,53.0,South,Master,32,94193.0,766.0,14476.0,2025-12-12,Approved,4.1,Yes
APP10253,Female,26.0,East,High School,0,70112.0,578.0,5000.0,2025-07-20,Rejected,2.4,Yes
APP10254,Male,30.0,North,Bachelor,6,85099.0,766.0,35025.0,2025-01-10,Approved,3.6,Yes
APP10255,Male,25.0,East,Bachelor,2,39903.0,690.0,26625.0,2025-12-18,Approved,2.7,Yes
APP10256,Female,43.0,North,Master,13,65150.0,791.0,5000.0,2025-08-14,Approved,2.9,Yes
APP10257,Female,30.0,East,Bachelor,3,74936.0,675.0,55355.0,2025-06-25,Approved,3.1,Yes
APP10258,Female,22.0,West,Bachelor,1,41352.0,655.0,32493.0,2025-10-03,Approved,2.3,Yes
APP10259,Female,33.0,West,Bachelor,8,69618.0,692.0,33041.0,2025-02-08,Approved,2.6,Yes
